id,name,city,country,lat,lon,degree,type,source
3364,Beijing Capital International Airport,Beijing,China,40.08010101,116.5849991,657,airport,OurAirports
3366,Dongshan Airport,Hailar,China,49.20500183,119.8249969,32,airport,OurAirports
3368,Tianjin Binhai International Airport,Tianjin,China,39.12440109,117.3460007,254,airport,OurAirports
3369,Taiyuan Wusu Airport,Taiyuan,China,37.74689865,112.6279984,204,airport,OurAirports
3370,Guangzhou Baiyun International Airport,Guangzhou,China,23.39240074,113.2990036,480,airport,OurAirports
3371,Changsha Huanghua International Airport,Changcha,China,28.18919945,113.2200012,335,airport,OurAirports
3372,Guilin Liangjiang International Airport,Guilin,China,25.21809959,110.0390015,195,airport,OurAirports
3373,Nanning Wuxu Airport,Nanning,China,22.60829926,108.1719971,192,airport,OurAirports
3374,Shenzhen Bao'an International Airport,Shenzhen,China,22.63929939,113.810997,417,airport,OurAirports
3375,Zhengzhou Xinzheng International Airport,Zhengzhou,China,34.5196991,113.8410034,318,airport,OurAirports
3376,Wuhan Tianhe International Airport,Wuhan,China,30.7838,114.208,326,airport,OurAirports
3378,Lanzhou Zhongchuan Airport,Lanzhou,China,36.51520157,103.6200027,166,airport,OurAirports
3379,Xi'an Xianyang International Airport,Xi'an,China,34.447102,108.751999,537,airport,OurAirports
3381,Xishuangbanna Gasa Airport,Jinghonggasa,China,21.97389984,100.7600021,46,airport,OurAirports
3382,Kunming Changshui International Airport,Kunming,China,25.1019444,102.9291667,475,airport,OurAirports
3383,Xiamen Gaoqi International Airport,Xiamen,China,24.54400063,118.1279984,376,airport,OurAirports
3384,Nanchang Changbei International Airport,Nanchang,China,28.86499977,115.9000015,158,airport,OurAirports
3385,Fuzhou Changle International Airport,Fuzhou,China,25.93510056,119.663002,210,airport,OurAirports
3386,Hangzhou Xiaoshan International Airport,Hangzhou,China,30.22949982,120.4339981,428,airport,OurAirports
3387,Ningbo Lishe International Airport,Ninbo,China,29.82670021,121.461998,134,airport,OurAirports
3388,Nanjing Lukou Airport,Nanjing,China,31.74200058,118.8619995,278,airport,OurAirports
3389,Hefei Luogang International Airport,Hefei,China,31.78000069,117.2979965,137,airport,OurAirports
3390,Liuting Airport,Qingdao,China,36.26610184,120.3740005,310,airport,OurAirports
3391,Shanghai Hongqiao International Airport,Shanghai,China,31.19790077,121.3359985,363,airport,OurAirports
3392,Yantai Laishan Airport,Yantai,China,37.40169907,121.3720016,94,airport,OurAirports
3393,Chongqing Jiangbei International Airport,Chongqing,China,29.71920013,106.6419983,486,airport,OurAirports
3394,Longdongbao Airport,Guiyang,China,26.53849983,106.8010025,264,airport,OurAirports
3395,Chengdu Shuangliu International Airport,Chengdu,China,30.57850075,103.9469986,567,airport,OurAirports
3396,Xichang Qingshan Airport,Xichang,China,27.9890995,102.1839981,10,airport,OurAirports
3397,Kashgar Airport,Kashi,China,39.54290009,76.01999664,26,airport,OurAirports
3398,Hotan Airport,Hotan,China,37.03850174,79.86489868,12,airport,OurAirports
