Index,AirportName,region,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,pop2018,pop2019
0,Beijing(Capital),North China,2417.65,2715.97,2428.38,3488.32,4100.4,4874.83,5361.17,5593.81,6537.51,7394.81,7867.45,8192.94,8371.24,8612.83,8993.9,9439.35,9578.63,10098.33,10001.36
1,Xi'an(Xianyang),North China,407.17,443.36,439.8,636.24,794.2,936.9,1137.26,1192.19,1529.49,1801.04,2116.31,2342.07,2604.47,2926.08,3297.02,3699.45,4185.72,4465.33,4722.05
2,Chengdu(Shuangliu),West China,624.47,754.87,819.67,1168.56,1389.99,1628.02,1857.43,1724.68,2263.78,2580.58,2907.37,3159.51,3344.46,3767.52,4223.95,4603.9,4980.17,5295.05,5585.86
3,Chongqing(Jiangbei),West China,319.28,386.58,428.75,523.38,663.14,805,1035.57,1113.84,1403.8,1580.23,1905.27,2205.7,2527.2,2926.44,3240.22,3588.88,3871.52,4159.59,4478.67
4,Kunming(Changshui),West China,644.65,708.72,743.26,979.73,1181.87,1444.36,1572.58,1587.78,1894.47,2019.22,2227.01,2397.93,2968.83,3223.09,3752.31,4198.03,4472.77,4708.81,4807.6
5,Guangzhou(Baiyun),South China,1382.93,1601.44,1501.27,2032.61,2355.83,2622.2,3095.85,3343.55,3704.87,4097.57,4504.03,4830.94,5245.03,5478.03,5520.19,5973.21,6580.7,6972.04,7337.85
6,Shenzhen(Bao'an),South China,777.5,935.27,1084.27,1425.3,1628.31,1835.61,2061.92,2140.05,2448.64,2671.36,2824.57,2956.97,3226.85,3627.27,3972.16,4197.51,4561.07,4934.9,5293.19
7,Zhengzhou(Xinzheng),Central China,152.34,166.77,186.86,257.27,296.93,387.99,500.21,588.76,734.24,870.79,1015.01,1167.36,1314,1580.54,1729.74,2076.32,2429.91,2733.47,2912.93
8,Wuhan(Tianhe),Central China,274.41,320.09,330.56,432.71,474.39,610.06,835.63,920.26,1130.38,1164.68,1246.2,1398.05,1570.61,1727.71,1894.2,2077.16,2312.94,2450.04,2715.02
9,Changsha(Huanghua),Central China,221.71,259.85,299.25,380.26,530.14,659.26,807,845.48,1128.43,1262.13,1368.47,1474.97,1600.72,1802.05,1871.53,2129.67,2376.48,2526.63,2691.14
10,Qindao(Liuting),East China,281.01,321.99,349.1,480.84,587.96,679.12,786.8,820.04,966.01,1110.12,1171.64,1260.12,1451.67,1641.18,1820.21,2050.5,2321.05,2453.57,2555.63
11,Shanghai(Pudong),East China,689.9,1104.77,1506.36,2102.17,2366.5,2678.86,2892.04,2823.57,3192.1,4057.86,4144.77,4488.02,4718.98,5168.79,6009.81,6600.24,7000.12,7400.63,7615.35
12,Shanghai(Hongqiao),East China,1376.1,1366.71,969.24,1488.92,1779.74,1933.65,2263.3,2287.74,2507.85,3129.88,3311.24,3382.87,3559.96,3797.11,3909.09,4046.01,4188.41,4362.8,4563.79
13,Hangzhou(Xiaoshan),East China,298.13,387.93,435.23,633.8,809.26,991.95,1173,1267.32,1494.47,1706.86,1751.22,1911.53,2211.41,2552.59,2835.44,3159.5,3557.04,3824.16,4010.84
14,Xiamen(Gaoqi),South China,358.72,425.86,429.64,557.64,658.55,750.1,868.47,938.54,1132.79,1320.62,1575.7,1735.41,1975.3,2086.38,2181.42,2273.76,2448.52,2655.34,2741.34
